                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.45863,                0.53983,                 1.0078,                0.87788,                0.89253,                0.92127,                0.84203,                0.42865,                0.51428,                0.97496,             0.00093385,             0.00093385,             0.00093385
                     37,                0.44719,                0.52745,                 1.0075,                0.88214,                0.85322,                0.91252,                0.82664,                0.45282,                0.54091,                  1.005,              0.0009197,              0.0009197,              0.0009197
                     38,                0.44089,                0.51184,                 1.0028,                 0.8911,                 0.8855,                0.92091,                 0.8418,                0.43846,                0.51467,                0.97885,             0.00090556,             0.00090556,             0.00090556
                     39,                0.44457,                0.51458,                 1.0033,                0.86994,                 0.9028,                0.92502,                0.84115,                0.43758,                0.51267,                0.98223,             0.00089141,             0.00089141,             0.00089141
                     40,                0.44066,                0.50697,                 1.0039,                0.88367,                0.89189,                0.91509,                0.82884,                0.46334,                0.52837,                 1.0049,             0.00087726,             0.00087726,             0.00087726
                     41,                0.44266,                0.50523,                 1.0035,                0.89046,                0.89155,                0.92198,                0.83681,                0.43105,                0.48874,                0.98139,             0.00086312,             0.00086312,             0.00086312
                     42,                0.43852,                0.50458,                  1.007,                0.89065,                0.86309,                0.91051,                0.82945,                  0.458,                0.53405,                0.99866,             0.00084897,             0.00084897,             0.00084897
                     43,                 0.4537,                0.51856,                 1.0099,                 0.8868,                0.89535,                0.91796,                0.83938,                0.44199,                0.50977,                0.99015,             0.00083482,             0.00083482,             0.00083482
                     44,                0.42938,                0.49882,                 1.0007,                0.89274,                0.88272,                0.92047,                0.84843,                0.42086,                0.49076,                0.97992,             0.00082067,             0.00082067,             0.00082067
                     45,                0.43785,                 0.4913,                 1.0055,                0.87217,                0.88103,                0.90816,                 0.8282,                0.42706,                0.53141,                0.97657,             0.00080653,             0.00080653,             0.00080653
                     46,                0.43547,                0.50282,                 1.0008,                0.86399,                0.88683,                0.90291,                0.82368,                0.43508,                0.54722,                0.97761,             0.00079238,             0.00079238,             0.00079238
                     47,                0.43373,                0.49715,                 1.0007,                0.90662,                0.87758,                0.92195,                0.84772,                 0.4325,                0.47884,                0.99013,             0.00077823,             0.00077823,             0.00077823
                     48,                0.42322,                0.47537,                0.99022,                0.90188,                0.89612,                0.91903,                 0.8443,                0.41975,                0.46643,                0.97192,             0.00076409,             0.00076409,             0.00076409
                     49,                0.43013,                0.47708,                0.99739,                0.88086,                0.88043,                0.91208,                0.84163,                0.42119,                0.50075,                0.97348,             0.00074994,             0.00074994,             0.00074994
                     50,                0.42622,                0.48362,                0.99285,                0.88929,                0.89595,                0.92149,                0.83993,                0.44932,                0.51685,                0.99601,             0.00073579,             0.00073579,             0.00073579
                     51,                0.42216,                0.46928,                0.99452,                0.87266,                0.89968,                0.92391,                0.84663,                0.40658,                0.49508,                0.95697,             0.00072164,             0.00072164,             0.00072164
                     52,                 0.4205,                0.47806,                0.99238,                0.87979,                0.90871,                0.91803,                0.84109,                0.41428,                0.48236,                0.96521,              0.0007075,              0.0007075,              0.0007075
                     53,                0.41157,                0.46787,                0.98312,                0.86584,                0.90113,                0.92263,                0.84918,                0.40336,                0.48067,                0.96045,             0.00069335,             0.00069335,             0.00069335
                     54,                0.41088,                0.44187,                0.98149,                0.88512,                0.90716,                0.92887,                0.85575,                0.40727,                0.46829,                0.94695,              0.0006792,              0.0006792,              0.0006792
                     55,                0.41451,                0.45501,                0.98318,                0.90826,                0.88299,                0.92637,                0.84681,                0.40171,                0.46577,                0.95164,             0.00066506,             0.00066506,             0.00066506
                     56,                0.41038,                0.44767,                0.98613,                0.90288,                0.88636,                 0.9131,                0.84466,                0.40204,                0.47117,                0.94218,             0.00065091,             0.00065091,             0.00065091
                     57,                0.40887,                0.44519,                0.97946,                 0.8989,                0.89888,                0.92565,                0.85334,                0.40008,                0.45603,                0.94427,             0.00063676,             0.00063676,             0.00063676
                     58,                0.39984,                0.44234,                0.97763,                0.88635,                0.89455,                0.91831,                0.84386,                0.40777,                0.46958,                0.96685,             0.00062262,             0.00062262,             0.00062262
                     59,                0.40089,                0.43367,                 0.9832,                0.88593,                0.91161,                0.93163,                0.86258,                0.40496,                0.45246,                0.96291,             0.00060847,             0.00060847,             0.00060847
                     60,                0.40816,                0.42464,                0.98387,                0.88733,                0.90085,                0.92542,                0.85933,                0.40108,                0.46769,                0.95662,             0.00059432,             0.00059432,             0.00059432
                     61,                0.39835,                0.43042,                0.97914,                0.88469,                 0.9064,                0.92519,                 0.8485,                 0.4065,                0.48869,                0.95564,             0.00058017,             0.00058017,             0.00058017
                     62,                0.40096,                0.43272,                0.98087,                0.90028,                0.89199,                0.92567,                0.85368,                0.40706,                0.46626,                0.95124,             0.00056603,             0.00056603,             0.00056603
                     63,                0.39968,                0.42508,                0.98024,                0.88813,                0.91387,                0.92815,                0.86266,                0.40138,                0.42973,                0.94887,             0.00055188,             0.00055188,             0.00055188
                     64,                0.38854,                0.41468,                0.97319,                0.90244,                 0.9229,                0.92915,                0.86132,                 0.3869,                0.42182,                0.94422,             0.00053773,             0.00053773,             0.00053773
                     65,                0.39267,                0.41866,                0.97435,                 0.8932,                0.92213,                0.92623,                0.86163,                0.39272,                0.43147,                0.94419,             0.00052359,             0.00052359,             0.00052359
                     66,                0.39212,                0.41071,                0.97696,                  0.903,                0.89097,                 0.9177,                 0.8505,                0.39637,                0.46158,                0.94506,             0.00050944,             0.00050944,             0.00050944
                     67,                 0.3864,                0.40737,                0.97362,                0.89387,                0.91714,                0.92523,                0.85993,                0.38949,                0.43538,                0.93733,             0.00049529,             0.00049529,             0.00049529
                     68,                0.38387,                0.41479,                0.97464,                  0.897,                0.90146,                0.92058,                0.85303,                0.38616,                0.44479,                0.93763,             0.00048114,             0.00048114,             0.00048114
                     69,                0.38595,                0.40699,                0.97269,                0.91009,                0.89859,                0.93048,                0.86458,                0.39571,                0.43483,                0.94538,               0.000467,               0.000467,               0.000467
                     70,                0.37783,                0.38786,                0.96266,                0.90696,                0.91367,                0.93601,                0.87014,                0.37969,                0.41439,                0.93948,             0.00045285,             0.00045285,             0.00045285
                     71,                0.37988,                0.38731,                0.96896,                0.89974,                 0.9089,                0.93079,                0.86622,                0.38499,                0.42986,                 0.9355,              0.0004387,              0.0004387,              0.0004387
                     72,                0.37804,                0.39352,                 0.9664,                0.90554,                0.90871,                 0.9313,                0.86315,                 0.3925,                 0.4209,                0.94801,             0.00042456,             0.00042456,             0.00042456
                     73,                0.37903,                 0.3943,                0.96623,                0.90824,                0.90973,                0.92802,                0.86158,                 0.3797,                0.42822,                0.93269,             0.00041041,             0.00041041,             0.00041041
                     74,                 0.3824,                0.39159,                0.96837,                0.90251,                0.91063,                0.92968,                0.86262,                0.38175,                 0.4148,                0.93494,             0.00039626,             0.00039626,             0.00039626
                     75,                0.38031,                0.39386,                0.96721,                0.90429,                0.90612,                0.92702,                0.86093,                0.38291,                0.42551,                0.93623,             0.00038211,             0.00038211,             0.00038211
                     76,                0.37555,                0.38307,                0.96649,                0.90822,                0.89448,                0.92204,                0.85174,                0.38691,                0.42748,                0.93839,             0.00036797,             0.00036797,             0.00036797
                     77,                0.37512,                0.38311,                 0.9599,                0.91093,                0.90888,                0.91809,                0.85049,                0.37664,                0.43049,                0.93033,             0.00035382,             0.00035382,             0.00035382
                     78,                0.36961,                0.37872,                0.95937,                 0.9186,                 0.9058,                0.92556,                0.86201,                0.37804,                0.40897,                0.92618,             0.00033967,             0.00033967,             0.00033967
                     79,                0.36589,                0.35971,                0.95966,                0.89624,                0.91674,                0.92644,                0.86129,                0.38193,                0.42252,                0.93365,             0.00032553,             0.00032553,             0.00032553
                     80,                0.36876,                0.36053,                 0.9575,                0.90618,                0.90245,                0.92571,                0.85642,                0.38676,                0.42268,                0.94077,             0.00031138,             0.00031138,             0.00031138
                     81,                0.36455,                0.35875,                0.95561,                 0.8985,                0.90689,                0.92381,                0.86414,                0.38561,                0.42173,                0.94935,             0.00029723,             0.00029723,             0.00029723
                     82,                0.36229,                0.35166,                0.95592,                0.90326,                0.91038,                0.92883,                0.87025,                 0.3632,                0.40834,                0.92041,             0.00028308,             0.00028308,             0.00028308
                     83,                0.35844,                0.36189,                0.95336,                0.92058,                0.89455,                 0.9259,                0.86652,                0.37802,                0.40946,                0.93636,             0.00026894,             0.00026894,             0.00026894
                     84,                 0.3555,                0.35581,                0.95094,                0.91162,                0.91022,                0.92936,                0.86818,                0.37739,                  0.408,                0.93189,             0.00025479,             0.00025479,             0.00025479
                     85,                0.35528,                0.35002,                0.95231,                  0.904,                0.91515,                0.92871,                0.86733,                0.37905,                0.40859,                0.93792,             0.00024064,             0.00024064,             0.00024064
                     86,                0.36123,                0.36415,                 0.9613,                0.89986,                0.90878,                0.92461,                 0.8629,                0.37367,                0.40426,                0.93328,              0.0002265,              0.0002265,              0.0002265
                     87,                0.35372,                0.34916,                0.95224,                0.90514,                0.91771,                0.92874,                0.86774,                0.37689,                0.40399,                0.93552,             0.00021235,             0.00021235,             0.00021235
                     88,                0.35207,                 0.3414,                0.94948,                0.90878,                0.90406,                0.92906,                0.87148,                0.37789,                0.40798,                0.94027,              0.0001982,              0.0001982,              0.0001982
                     89,                0.35108,                0.33544,                0.95092,                0.90111,                0.91208,                 0.9265,                0.87039,                0.36599,                0.40026,                0.92766,             0.00018406,             0.00018406,             0.00018406
                     90,                0.34694,                0.33584,                0.95505,                0.90419,                0.91771,                0.92947,                0.87214,                0.37307,                0.39629,                0.93062,             0.00016991,             0.00016991,             0.00016991
                     91,                0.28011,                0.32444,                0.92942,                0.88665,                0.92097,                0.93056,                0.87379,                0.36616,                0.39444,                0.92611,             0.00015576,             0.00015576,             0.00015576
                     92,                0.27904,                0.29896,                 0.9319,                0.90731,                0.88578,                0.92012,                0.86624,                0.36042,                0.40755,                0.92773,             0.00014161,             0.00014161,             0.00014161
                     93,                0.27832,                0.29185,                0.92883,                0.89809,                0.90603,                0.92461,                0.87094,                0.35638,                    0.4,                0.91971,             0.00012747,             0.00012747,             0.00012747
                     94,                0.27069,                0.28996,                0.92521,                0.90821,                0.91212,                0.92227,                0.86619,                0.36799,                0.38914,                 0.9339,             0.00011332,             0.00011332,             0.00011332
                     95,                0.26556,                0.28463,                0.92033,                0.91072,                0.90412,                0.92418,                0.86856,                0.36209,                0.39102,                0.92188,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.25841,                0.26722,                 0.9133,                0.91235,                0.90988,                0.92293,                0.87084,                0.36042,                0.38936,                0.92282,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.25682,                0.26769,                0.91796,                0.90944,                0.91465,                0.92615,                0.87021,                0.36626,                 0.3892,                 0.9279,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.25684,                0.26013,                0.91897,                0.91587,                0.90736,                0.92416,                0.87087,                0.35934,                0.39049,                0.92455,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.24819,                0.25866,                0.91358,                0.91421,                0.90288,                0.92552,                0.87169,                 0.3553,                0.38405,                0.91887,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.25351,                0.25974,                 0.9135,                0.91908,                0.90652,                0.92692,                0.87352,                0.35426,                0.38274,                0.91933,             2.8437e-05,             2.8437e-05,             2.8437e-05
